Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.3902439024390244 (0.4938647983247948),0.9830508474576272 (0.12963135419615374),0.859375 (0.3490002594588753)
TRAIN010,0.7659574468085106 (0.4256691611203412),0.9453125 (0.22826265262341358),0.8671875 (0.34070546889569187)
TRAIN011,0.44680851063829785 (0.4998283850987718),0.3333333333333333 (0.4741373235154428),0.3113207547169811 (0.46523332696349284)
TRAIN013,0.42391304347826086 (0.49688470487416714),0.9206349206349206 (0.27247890131917835),0.8870967741935484 (0.31905797354278254)
TRAIN015,0.2109375 (0.4095771537596914),1.0 (0.0),0.8181818181818182 (0.39015365325741314)
TRAIN028,0.8571428571428571 (0.3535533905932738),1.0 (0.0),0.9210526315789473 (0.27327631273309394)
TRAIN029,0.875 (0.3360107525161235),0.8837209302325582 (0.3243530062242882),0.9795918367346939 (0.14285714285714285)
TRAIN032,nan (nan),1.0 (0.0),0.6530612244897959 (0.4809288065886704)
TRAIN041,0.8913043478260869 (0.3146963876899777),0.8979591836734694 (0.3058388709205983),1.0 (0.0)
TRAIN046,0.7692307692307693 (0.4385290096535146),0.6086956521739131 (0.4934351637951689),0.8 (0.4140393356054125)
TRAIN049,0.7734375 (0.42025196322970965),0.908256880733945 (0.2899963091613704),0.8484848484848485 (0.3603749850782236)
TRAIN050,0.945054945054945 (0.22913544575873132),0.984375 (0.12450690143095285),0.9761904761904762 (0.1533709949008578)
TRAIN051,0.759493670886076 (0.43012192288835066),0.9811320754716981 (0.1367049011885994),0.8828125 (0.32290740609869234)
TRAIN056,0.972972972972973 (0.1643989873053573),0.765625 (0.42695628191498325),0.890625 (0.3145764348029479)
