Volume,dice_IRF
TRAIN003,0.5806327451718971 (0.4317978331750374)
TRAIN005,0.6171875 (0.48798305362985855)
TRAIN006,0.3118245827499777 (0.3858896523017512)
TRAIN009,0.7322565018257592 (0.3762319556731743)
TRAIN020,0.43933260104677174 (0.4474951288458755)
TRAIN030,0.5097762473611808 (0.43093332364497133)
TRAIN036,0.4314964571777655 (0.3966976655491982)
TRAIN038,0.3877551020408163 (0.4922874554317937)
TRAIN045,0.49983674439848685 (0.4259001288465101)
TRAIN047,0.7413223994021513 (0.308768140577993)
TRAIN055,0.8597506009682547 (0.34809279150100264)
TRAIN058,0.734375 (0.4434008690887529)
TRAIN061,0.8229035795084201 (0.2731869189931294)
TRAIN066,0.8646691781468689 (0.2610304199537628)
