Volume,dice_PED
TRAIN003,nan (nan)
TRAIN005,0.6493473275233124 (0.14722517170457664)
TRAIN006,nan (nan)
TRAIN009,0.3285068755171129 (0.2201886150103299)
TRAIN020,0.6532888268692452 (0.19474296222083023)
TRAIN030,0.7693237024359405 (0.165930769333617)
TRAIN036,nan (nan)
TRAIN038,0.7554381808096712 (0.18169999447368937)
TRAIN045,0.5960496251399701 (0.19440437600470115)
TRAIN047,nan (nan)
TRAIN055,0.7652545272102279 (0.15705097867712842)
TRAIN058,0.6598122365334455 (0.16608726340179591)
TRAIN061,0.6946619155548387 (0.17625038690531394)
TRAIN066,nan (nan)
