Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.3247663551401869 (0.4688355115083763),0.3742802303262956 (0.4844016036592357),0.30115830115830117 (0.45920481479715763)
Spectralis,0.5581395348837209 (0.4985443928356902),0.5808383233532934 (0.4949058729705947),0.46875 (0.5003271181246226)
Topcon,0.25474254742547425 (0.43630800518198615),0.7747368421052632 (0.4181959499358515),0.541019955654102 (0.4988678979458259)
