vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.58 (0.15),0.77 (0.07),0.61 (0.18)
Spectralis,0.65 (0.16),0.82 (0.06),0.73 (0.11)
Topcon,0.70 (0.15),0.80 (0.12),0.71 (0.12)
