Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.5397820352809504 (0.43280084308516065),0.5546875 (0.4989531363599838),0.7578125 (0.4300905187640256)
TRAIN005,0.5 (0.5019646441105269),0.5027145501953783 (0.41005819256462667),0.6893003762234002 (0.369976388501135)
TRAIN006,0.305878666753415 (0.36700856288412476),0.4296875 (0.49697658732223665),0.625 (0.4860251767562508)
TRAIN009,0.6832394378197932 (0.39948286317734616),0.9375 (0.24301258837812542),0.7966002288740128 (0.37464039801634724)
TRAIN020,0.2870048459262762 (0.3542231170470588),0.5059703104998334 (0.26021494070466733),0.21730489190667868 (0.3002694532439489)
TRAIN030,0.5424114167310146 (0.4376501105576245),0.7763593324593135 (0.36738967488697516),0.5054202003746616 (0.34552357356546487)
TRAIN036,0.21075853294863992 (0.2695338848778881),0.42857142857142855 (0.5),0.7551020408163265 (0.4344830378784443)
TRAIN038,0.02040816326530612 (0.14285714285714285),0.8332364169918761 (0.19598079384093586),0.5078573715017767 (0.34154999213310205)
TRAIN045,0.5452524744430367 (0.42084666808923676),0.4489795918367347 (0.5025445456953674),0.2689844001920856 (0.4066338050626446)
TRAIN047,0.5078052628253188 (0.379273737186539),0.6326530612244898 (0.4870779177494949),0.42857142857142855 (0.5)
TRAIN055,0.4657068676315248 (0.4941851171542761),0.78125 (0.4150230047698428),0.8014996615820564 (0.27672674000565145)
TRAIN058,0.8984375 (0.30325903664538445),0.765625 (0.42527202966171956),0.6964105286169797 (0.38860391871590316)
TRAIN061,0.5438403458101675 (0.40314554081235543),0.6560059409239329 (0.33813155183212573),0.7112116835778579 (0.33936154153711473)
TRAIN066,0.8470260526519269 (0.27692783154190376),0.9609375 (0.1945049743306584),0.984375 (0.12450690143095285)
