Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.7567805678292643 (0.3704052845590478),0.8145322888158262 (0.32453538571619234),0.7011983233416685 (0.4221249843066555)
Spectralis,0.6464526958079363 (0.4094161431034535),0.893624943882531 (0.2684506508670862),0.7725687144704315 (0.3631478608426793)
Topcon,0.8812887716740079 (0.2718008180339506),0.8476747992681339 (0.31976934195353024),0.8361302020639414 (0.2841312793037276)
