Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.41124616905835865 (0.43258226006528555),0.6645385885145515 (0.3972229503902049),0.49807532241757146 (0.44707647610732854)
Spectralis,0.6537046978972396 (0.36629460109731926),0.735053173923979 (0.40203166801149137),0.6113732742471145 (0.45077241746081614)
Topcon,0.7309170098243547 (0.3852843503197536),0.7427370888846261 (0.41813150432647095),0.5191459861515406 (0.47077627116296494)
