Volume,dice_IRF
TRAIN008,0.568971183616668 (0.39938057270867666)
TRAIN017,0.4302597581408918 (0.4261468949158585)
TRAIN019,0.5383467604406178 (0.4485763226993325)
TRAIN021,0.6081279027275741 (0.40697261253415945)
TRAIN023,0.578125 (0.4957992831114807)
TRAIN025,0.5170377608464689 (0.38212372209228096)
TRAIN031,0.7142857142857143 (0.4564354645876384)
TRAIN035,0.5714285714285714 (0.49999999999999994)
TRAIN037,0.6659423337907208 (0.13306837556797438)
TRAIN053,0.49704298994038254 (0.3139333624955153)
TRAIN057,0.4609375 (0.5004304249705651)
TRAIN060,0.5323720132964809 (0.4701432249252955)
TRAIN065,0.7613317084724258 (0.3651993308505966)
TRAIN070,0.446588140563108 (0.45620393015710126)
