Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.4365256124721604 (0.4965078494278108),0.8301886792452831 (0.3759105097771267),0.7371794871794872 (0.44063677137665674)
Spectralis,0.8642857142857143 (0.34371466930459865),0.851063829787234 (0.3569762139055559),0.88 (0.3257769992899002)
Topcon,0.8388059701492537 (0.3682598762982422),0.9287469287469288 (0.25756371316446414),0.896 (0.3056683743539949)
