Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2606959710070127 (0.20428357765210114),0.2495107557057997 (0.1898480939407699),0.29215452876036746 (0.20502959511717905)
Spectralis,0.48792286160446346 (0.18647689802438525),0.7362572308956531 (0.15428096316693388),0.5273477819070898 (0.24346875925877676)
Topcon,0.24370587814961914 (0.23192870011737968),0.28300781158457805 (0.2749390341326521),0.3690603849643918 (0.19412592277222335)
