Device,PSNR,SSIM,MSE
Cirrus,20.6401875 (0.7314440693425918),0.19338194444444445 (0.03488360489051818),0.00875599189691009 (0.0015452584205777461)
Spectralis,24.41563120567376 (1.6723530620483176),0.48164539007092194 (0.09614713754492177),0.003883750560466667 (0.001434066137104591)
T-1000,21.56143253968254 (0.9083548805706221),0.17661904761904762 (0.024939562689372977),0.007175997951038418 (0.0022268428586778182)
T-2000,22.513496466431093 (0.6003677567544106),0.2501113074204947 (0.029954655632135698),0.005661721762957532 (0.0008413985178489592)
