Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.8260885479394346 (0.2968771759792263),0.8046875 (0.3979988080146752),0.5546875 (0.4989531363599836)
TRAIN005,0.6328125 (0.48393228116742265),0.6737557337037288 (0.38042293079985207),0.5975825705099851 (0.4278520254052632)
TRAIN006,0.3875508650089614 (0.4137267658297475),0.7890625 (0.4095771537596912),0.859375 (0.3490002594588752)
TRAIN009,0.7612239627196686 (0.36793730124029406),0.953125 (0.21220162006698995),0.5452965004369617 (0.4911036241963825)
TRAIN020,0.337412321503507 (0.37885605530220273),0.6563230513129383 (0.22717793426328772),0.2090860915795929 (0.2927970380289997)
TRAIN030,0.645376781229766 (0.4090352621514835),0.8312602377667719 (0.3286024446112315),0.7776441692697759 (0.2981373731970459)
TRAIN036,0.7018173887413375 (0.3464885686150437),0.9387755102040817 (0.24222607082590245),0.9387755102040817 (0.24222607082590245)
TRAIN038,0.3673469387755102 (0.4870779177494949),0.8154977851984452 (0.21293636445869266),0.6755364363899037 (0.2973000006495765)
TRAIN045,0.6318147661430495 (0.40658744886474074),0.6122448979591837 (0.4922874554317936),0.5206561744479197 (0.45977561529690886)
TRAIN047,0.5835605622554312 (0.38153796531006573),0.8163265306122449 (0.39123039821797584),0.9183673469387755 (0.27664166758624403)
TRAIN055,0.7023033346049488 (0.45383560269331874),0.7109375 (0.4551082548383925),0.602198655178654 (0.39499493852341816)
TRAIN058,0.8125 (0.39184602471712565),0.8671875 (0.3407054688956917),0.7581324525526725 (0.36048205082935675)
TRAIN061,0.67764656325744 (0.3668233513974509),0.7303393965121359 (0.29572210135946797),0.7128847694257274 (0.32732453965253233)
TRAIN066,0.8815513765439391 (0.2408688674860302),1.0 (0.0),0.9453125 (0.22826265262341355)
