Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.23028882866492495 (0.3482748261967091),0.3046875 (0.46208350048159375),0.359375 (0.4817026069836068)
TRAIN005,0.0234375 (0.1518828677363284),0.27074053333490156 (0.3505695057236784),0.37297856027726084 (0.39008476441214246)
TRAIN006,0.23664430203280062 (0.34072752730604133),0.265625 (0.4434008690887529),0.2734375 (0.44747487062685404)
TRAIN009,0.04837372156907804 (0.1163467502103372),0.0 (0.0),0.024863647151505575 (0.08138688027603856)
TRAIN020,0.1522326889244141 (0.22633359603333633),0.6085003747139126 (0.2331484174380659),0.14966807000746485 (0.23491607866303765)
TRAIN030,0.2736013016891571 (0.3743383863844854),0.7659724233101826 (0.3793412723772639),0.7071381743465152 (0.33096371166097366)
TRAIN036,0.25853209486421275 (0.32675563538655683),0.7551020408163265 (0.4344830378784443),0.8163265306122449 (0.39123039821797584)
TRAIN038,0.08163265306122448 (0.27664166758624403),0.8273719433619051 (0.21736447401756315),0.653363553236942 (0.33216542282637024)
TRAIN045,0.2894166644130434 (0.36681030096427963),0.40816326530612246 (0.49658699082414787),0.41020021770073445 (0.4498842522702977)
TRAIN047,0.4191836684334035 (0.38434811401224567),0.5918367346938775 (0.496586990824148),0.673469387755102 (0.47380354147934284)
TRAIN055,0.2421875 (0.43009051876402565),0.4609375 (0.5004304249705651),0.3250545553601114 (0.35162228719714833)
TRAIN058,0.2421875 (0.43009051876402565),0.46875 (0.500983285118879),0.40401776775252074 (0.43562886836870834)
TRAIN061,0.5303186369128525 (0.41620753377396635),0.38625396467978135 (0.366404597663931),0.19569731212686747 (0.2537209016005153)
TRAIN066,0.542291768360883 (0.4379727049348699),0.8125 (0.3918460247171256),0.2109375 (0.4095771537596912)
