Volume,dice_IRF
TRAIN004,0.6555555555555556 (0.4778489044986782)
TRAIN008,0.44642857142857145 (0.5016207497934835)
TRAIN010,0.8085106382978723 (0.39558302541076845)
TRAIN011,0.6276595744680851 (0.4860205436870323)
TRAIN017,0.6219512195121951 (0.48788391410300636)
TRAIN025,0.3157894736842105 (0.47756693294091923)
TRAIN030,0.4666666666666667 (0.507416263404925)
TRAIN045,0.36666666666666664 (0.49013251785356104)
TRAIN046,0.38461538461538464 (0.5063696835418333)
TRAIN047,0.76 (0.4358898943540673)
TRAIN052,0.52 (0.5021167315686782)
TRAIN058,0.6328125 (0.4839322811674228)
TRAIN059,0.7254901960784313 (0.4507075048209878)
TRAIN061,0.8533333333333334 (0.3561556497471953)
