Volume,dice_PED
TRAIN003,nan (nan)
TRAIN005,0.590728804279687 (0.19218958681194553)
TRAIN006,nan (nan)
TRAIN009,0.26761861996991293 (0.20145784582935722)
TRAIN020,0.4815156594768428 (0.2691950128020275)
TRAIN030,0.7232636264525354 (0.21574304375165082)
TRAIN036,nan (nan)
TRAIN038,0.653868252580816 (0.1948904826747822)
TRAIN045,0.32607792203242963 (0.16877471969854563)
TRAIN047,nan (nan)
TRAIN055,0.740481999131941 (0.19170909790932564)
TRAIN058,0.5184521643335328 (0.20311508367551698)
TRAIN061,0.5594470027392193 (0.14717305618191806)
TRAIN066,nan (nan)
