Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.21841541755888652 (0.4136138944321965),0.6993603411513859 (0.459025836056539),0.4 (0.49037894813107297)
Spectralis,0.39375 (0.4901145418684733),0.772972972972973 (0.42004700089540226),0.8263473053892215 (0.37994983702106494)
Topcon,0.7362110311750599 (0.4412155778392472),0.8428246013667426 (0.364381309305888),0.84593837535014 (0.36151449006756803)
