vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.66 (0.03),0.74 (0.10),0.70 (0.06)
Spectralis,0.66 (0.06),0.83 (0.04),0.72 (0.07)
Topcon,0.58 (0.11),0.67 (0.09),0.62 (0.11)
