Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.18262806236080179 (0.3867922652314662),0.4080188679245283 (0.49204724025320556),0.27136752136752135 (0.4451410882041198)
Spectralis,0.40714285714285714 (0.4930659998057459),0.6063829787234043 (0.489856141850571),0.36 (0.4812045188324021)
Topcon,0.48059701492537316 (0.5003707625262117),0.6584766584766585 (0.474804225997684),0.5946666666666667 (0.4916123568904827)
