Volume,dice_SRF
TRAIN004,0.8651709631085396 (0.1336657448017848)
TRAIN007,0.8671875 (0.3407054688956916)
TRAIN018,0.984375 (0.12450690143095283)
TRAIN022,0.59375 (0.4930621017888848)
TRAIN024,0.5625 (0.49802760572381144)
TRAIN026,0.9591836734693877 (0.19991494790174602)
TRAIN034,0.9387755102040817 (0.24222607082590245)
TRAIN040,0.5535162164240467 (0.47294037757264357)
TRAIN043,0.7478503739955474 (0.3471104377669775)
TRAIN044,0.850162245181142 (0.1938629830051016)
TRAIN052,0.8996146828867495 (0.27059799758340125)
TRAIN054,0.9551128996536136 (0.18215741508927713)
TRAIN059,0.9032225019764155 (0.25672460388041757)
TRAIN069,0.7578125 (0.4300905187640256)
