Volume,dice_SRF
TRAIN008,0.8013935962226242 (0.3776588326068763)
TRAIN017,0.9375 (0.24301258837812537)
TRAIN019,0.9609375 (0.19450497433065847)
TRAIN021,0.799691751570208 (0.3613765439823259)
TRAIN023,0.34375 (0.4768251301309625)
TRAIN025,0.9387755102040817 (0.24222607082590245)
TRAIN031,0.8979591836734694 (0.3058388709205983)
TRAIN035,0.8874975102288383 (0.14580101184814848)
TRAIN037,0.771010406163274 (0.3785930544344742)
TRAIN053,0.6558699635206722 (0.37393642121136333)
TRAIN057,0.6291318911826238 (0.35228616248117506)
TRAIN060,1.0 (0.0)
TRAIN065,1.0 (0.0)
TRAIN070,0.9375 (0.24301258837812542)
