Slice,PSNR,SSIM,MSE
Spectralis_TEST026_001.tiff,24.234,0.401,0.003772149095311761
Spectralis_TEST026_002.tiff,24.099,0.422,0.0038916775956749916
Spectralis_TEST026_003.tiff,24.045,0.411,0.003940296825021505
Spectralis_TEST026_004.tiff,24.123,0.433,0.0038696916308254004
Spectralis_TEST026_005.tiff,23.898,0.418,0.004075664561241865
Spectralis_TEST026_006.tiff,24.107,0.413,0.0038837750907987356
Spectralis_TEST026_007.tiff,24.014,0.421,0.00396841811016202
Spectralis_TEST026_008.tiff,23.184,0.392,0.004804180935025215
Spectralis_TEST026_009.tiff,24.137,0.419,0.0038576191291213036
Spectralis_TEST026_010.tiff,23.692,0.395,0.004273726139217615
Spectralis_TEST026_011.tiff,22.587,0.382,0.005512389354407787
Spectralis_TEST026_012.tiff,23.043,0.362,0.0049628145061433315
Spectralis_TEST026_013.tiff,23.586,0.41,0.004379423335194588
Spectralis_TEST026_014.tiff,23.738,0.444,0.004228157922625542
Spectralis_TEST026_015.tiff,24.418,0.458,0.003615414025261998
Spectralis_TEST026_016.tiff,24.006,0.42,0.003975211642682552
Spectralis_TEST026_017.tiff,24.171,0.413,0.003827399807050824
Spectralis_TEST026_018.tiff,24.399,0.427,0.0036315200850367546
Spectralis_TEST026_019.tiff,24.449,0.445,0.00358964828774333
Spectralis_TEST026_020.tiff,24.019,0.431,0.00396409397944808
Spectralis_TEST026_021.tiff,24.094,0.433,0.003896061098203063
Spectralis_TEST026_022.tiff,23.816,0.415,0.004153395537286997
Spectralis_TEST026_023.tiff,23.006,0.403,0.0050047170370817184
Spectralis_TEST026_024.tiff,23.649,0.413,0.004316190257668495
Spectralis_TEST026_025.tiff,23.401,0.414,0.004569713957607746
Spectralis_TEST026_026.tiff,24.316,0.442,0.003701998619362712
Spectralis_TEST026_027.tiff,24.47,0.449,0.0035724658519029617
Spectralis_TEST026_028.tiff,23.513,0.473,0.004453182686120272
Spectralis_TEST026_029.tiff,24.744,0.474,0.0033546362537890673
Spectralis_TEST026_030.tiff,24.194,0.448,0.0038071058224886656
Spectralis_TEST026_031.tiff,24.615,0.469,0.003455117344856262
Spectralis_TEST026_032.tiff,23.868,0.451,0.004103903658688068
Spectralis_TEST026_033.tiff,24.065,0.441,0.0039217532612383366
Spectralis_TEST026_034.tiff,24.205,0.436,0.003797526005655527
Spectralis_TEST026_035.tiff,24.039,0.437,0.003945567645132542
Spectralis_TEST026_036.tiff,23.375,0.396,0.004597015213221312
Spectralis_TEST026_037.tiff,23.683,0.415,0.004282956011593342
Spectralis_TEST026_038.tiff,23.668,0.407,0.004296888131648302
Spectralis_TEST026_039.tiff,23.468,0.412,0.004499969072639942
Spectralis_TEST026_040.tiff,23.745,0.414,0.004222292453050613
Spectralis_TEST026_041.tiff,23.783,0.393,0.004184783902019262
Spectralis_TEST026_042.tiff,23.117,0.373,0.004878740757703781
Spectralis_TEST026_043.tiff,23.779,0.397,0.00418907729908824
Spectralis_TEST026_044.tiff,23.683,0.411,0.004282242152839899
Spectralis_TEST026_045.tiff,23.586,0.396,0.004378977231681347
Spectralis_TEST026_046.tiff,22.146,0.379,0.006100946571677923
Spectralis_TEST026_047.tiff,22.711,0.373,0.005356775596737862
Spectralis_TEST028_001.tiff,25.336,0.531,0.0029268376529216766
Spectralis_TEST028_002.tiff,25.825,0.541,0.0026152590289711952
Spectralis_TEST028_003.tiff,23.027,0.515,0.004981169942766428
Spectralis_TEST028_004.tiff,25.278,0.532,0.0029663911554962397
Spectralis_TEST028_005.tiff,24.27,0.471,0.0037408494390547276
Spectralis_TEST028_006.tiff,24.439,0.488,0.0035981761757284403
Spectralis_TEST028_007.tiff,21.497,0.48,0.007084397133439779
Spectralis_TEST028_008.tiff,24.659,0.506,0.003420874709263444
Spectralis_TEST028_009.tiff,24.499,0.501,0.0035486991982907057
Spectralis_TEST028_010.tiff,24.644,0.508,0.0034327537287026644
Spectralis_TEST028_011.tiff,24.277,0.488,0.003734953235834837
Spectralis_TEST028_012.tiff,24.527,0.49,0.003526527201756835
Spectralis_TEST028_013.tiff,24.679,0.489,0.0034049192909151316
Spectralis_TEST028_014.tiff,24.939,0.478,0.003206804394721985
Spectralis_TEST028_015.tiff,24.158,0.475,0.003838761942461133
Spectralis_TEST028_016.tiff,25.205,0.496,0.0030165482312440872
Spectralis_TEST028_017.tiff,25.085,0.496,0.0031006885692477226
Spectralis_TEST028_018.tiff,24.652,0.466,0.003426209557801485
Spectralis_TEST028_019.tiff,24.078,0.472,0.003910554572939873
Spectralis_TEST028_020.tiff,25.582,0.515,0.0027658683247864246
Spectralis_TEST028_021.tiff,24.431,0.497,0.0036048577167093754
Spectralis_TEST028_022.tiff,25.13,0.516,0.0030693018343299627
Spectralis_TEST028_023.tiff,25.04,0.516,0.0031329402700066566
Spectralis_TEST028_024.tiff,24.086,0.53,0.0039027081802487373
Spectralis_TEST028_025.tiff,25.089,0.53,0.00309813697822392
Spectralis_TEST028_026.tiff,25.182,0.546,0.003032732754945755
Spectralis_TEST028_027.tiff,25.411,0.603,0.0028767003677785397
Spectralis_TEST028_028.tiff,23.885,0.631,0.004088087938725948
Spectralis_TEST028_029.tiff,26.374,0.639,0.0023047130089253187
Spectralis_TEST028_030.tiff,25.368,0.581,0.002905043540522456
Spectralis_TEST028_031.tiff,24.672,0.573,0.003410652745515108
Spectralis_TEST028_032.tiff,25.656,0.58,0.002718751784414053
Spectralis_TEST028_033.tiff,25.466,0.567,0.0028405440971255302
Spectralis_TEST028_034.tiff,25.552,0.568,0.0027849299367517233
Spectralis_TEST028_035.tiff,25.776,0.54,0.002644796622917056
Spectralis_TEST028_036.tiff,25.759,0.543,0.0026554586365818977
Spectralis_TEST028_037.tiff,24.88,0.514,0.0032506089191883802
Spectralis_TEST028_038.tiff,24.532,0.516,0.0035217043478041887
Spectralis_TEST028_039.tiff,24.443,0.483,0.0035948881413787603
Spectralis_TEST028_040.tiff,24.472,0.464,0.003571081440895796
Spectralis_TEST028_041.tiff,24.796,0.496,0.003314603352919221
Spectralis_TEST028_042.tiff,24.121,0.507,0.003871713299304247
Spectralis_TEST028_043.tiff,25.194,0.491,0.003023978555575013
Spectralis_TEST028_044.tiff,24.584,0.427,0.003480298211798072
Spectralis_TEST028_045.tiff,25.518,0.521,0.0028067920356988907
Spectralis_TEST028_046.tiff,24.957,0.548,0.0031936413142830133
Spectralis_TEST028_047.tiff,25.277,0.546,0.0029670814983546734
Spectralis_TRAIN027_001.tiff,24.259,0.474,0.003750987583771348
Spectralis_TRAIN027_002.tiff,23.716,0.454,0.0042501408606767654
Spectralis_TRAIN027_003.tiff,24.245,0.492,0.0037629264406859875
Spectralis_TRAIN027_004.tiff,24.22,0.502,0.003784831380471587
Spectralis_TRAIN027_005.tiff,24.443,0.493,0.003595001297071576
Spectralis_TRAIN027_006.tiff,24.444,0.495,0.003593876725062728
Spectralis_TRAIN027_007.tiff,24.301,0.469,0.003714499995112419
Spectralis_TRAIN027_008.tiff,22.834,0.394,0.005207492504268885
Spectralis_TRAIN027_009.tiff,23.739,0.426,0.004227823577821255
Spectralis_TRAIN027_010.tiff,23.182,0.429,0.004805712029337883
Spectralis_TRAIN027_011.tiff,24.161,0.458,0.003836552845314145
Spectralis_TRAIN027_012.tiff,23.853,0.451,0.0041183847934007645
Spectralis_TRAIN027_013.tiff,23.894,0.449,0.00407923711463809
Spectralis_TRAIN027_014.tiff,24.197,0.431,0.003804110921919346
Spectralis_TRAIN027_015.tiff,23.827,0.423,0.004143232014030218
Spectralis_TRAIN027_016.tiff,23.424,0.417,0.0045453221537172794
Spectralis_TRAIN027_017.tiff,23.228,0.412,0.004755818750709295
Spectralis_TRAIN027_018.tiff,23.207,0.399,0.004778658039867878
Spectralis_TRAIN027_019.tiff,22.658,0.382,0.005421886686235666
Spectralis_TRAIN027_020.tiff,22.693,0.402,0.005378644913434982
Spectralis_TRAIN027_021.tiff,23.502,0.416,0.0044649760238826275
Spectralis_TRAIN027_022.tiff,23.139,0.395,0.004853521473705769
