Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.80438067833893 (0.31930580086228544),0.6484375 (0.4793342454880914),0.953125 (0.21220162006698992)
TRAIN005,0.2578125 (0.43914902946350703),0.6290060613828246 (0.39874870559604797),0.5324630958493799 (0.4388010093882564)
TRAIN006,0.4517130213207565 (0.42782504970028556),0.8671875 (0.3407054688956916),0.890625 (0.31333549728408966)
TRAIN009,0.5924754913430661 (0.434512899639696),0.8984375 (0.30325903664538434),0.5016177048673853 (0.47833830401739486)
TRAIN020,0.2710222839668859 (0.37078010554428464),0.6904231002554297 (0.24634647302996762),0.1875302280886899 (0.26772750271130025)
TRAIN030,0.633304128157241 (0.4152962550369619),0.8584097854945124 (0.30135833597319667),0.745688297310654 (0.3287580425826261)
TRAIN036,0.7103673376675163 (0.3489288815413854),1.0 (0.0),0.9795918367346939 (0.14285714285714285)
TRAIN038,0.4489795918367347 (0.5025445456953674),0.8611972465807077 (0.1616205819326693),0.7194432448975894 (0.27696208005105233)
TRAIN045,0.7250173760920154 (0.365214782314158),0.7142857142857143 (0.45643546458763845),0.5246092856538539 (0.4586130916097151)
TRAIN047,0.7616180327473855 (0.2942925995638502),0.7959183673469388 (0.40720550896397784),0.8163265306122449 (0.39123039821797584)
TRAIN055,0.8209916854975745 (0.37669689945164636),0.890625 (0.3133354972840896),0.8021960149053484 (0.2755914197547074)
TRAIN058,0.890625 (0.3133354972840896),0.875 (0.3320184038158742),0.8328234711661935 (0.2923355793426772)
TRAIN061,0.810703567462042 (0.27112846664438073),0.7104760808870196 (0.30352193267138167),0.7199287288822234 (0.311365021355086)
TRAIN066,0.9005029356922023 (0.213426749007104),1.0 (0.0),0.984375 (0.12450690143095285)
