Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6698276896495372 (0.40847760915282016),0.7957280152011663 (0.3932210138798171),0.8496328798180912 (0.3176265284386829)
Spectralis,0.5314457094182774 (0.4127983222060669),0.8249788553434976 (0.34546808003551266),0.7012923179688503 (0.36006056148540705)
Topcon,0.5092756560465205 (0.435245756716254),0.7029465175466612 (0.4062442183172506),0.6735893301171018 (0.39643804480361655)
