Volume,dice_IRF,dice_SRF,dice_PED
D2S1,0.21052631578947367 (0.41885390829169555),0.7333333333333333 (0.45773770821706344),0.5263157894736842 (0.512989176042577)
D3S1,0.5263157894736842 (0.512989176042577),0.8461538461538461 (0.3755338080994054),0.29411764705882354 (0.4696682183138622)
D4S1,0.0 (0.0),0.05263157894736842 (0.22941573387056177),0.0 (0.0)
D4S2,0.06666666666666667 (0.2581988897471611),0.07692307692307693 (0.2773500981126145),0.0 (0.0)
D5S2,0.0 (0.0),0.16666666666666666 (0.408248290463863),0.0 (0.0)
D5S3,0.15789473684210525 (0.3746343246326776),0.8 (0.4472135954999579),0.0 (0.0)
