Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.04925053533190578 (0.21662271986702683),0.17484008528784648 (0.3802358495667119),0.17647058823529413 (0.38159433674595916)
Spectralis,0.125 (0.3317572803749166),0.6108108108108108 (0.48888948236738317),0.6646706586826348 (0.4735253386066848)
Topcon,0.35731414868105515 (0.4797840856696203),0.5444191343963554 (0.498591227412928),0.1792717086834734 (0.3841180275814759)
