Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2982807246313314 (0.39778548293734484),0.7009656040929257 (0.39958494312612297),0.43594611475709827 (0.4575704650621495)
Spectralis,0.44212154311945245 (0.42513325437042887),0.7852485305192519 (0.37591465899894966),0.7200039451305127 (0.37833742047174357)
Topcon,0.7172929545486113 (0.40769045958534306),0.8141568861792621 (0.3518862452315212),0.7459061270492384 (0.36120194268973005)
