Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.7459735393058509 (0.317035115017286),0.8957264034543186 (0.2756998461696064),0.7734375 (0.4202519632297096)
TRAIN017,0.6706676755129592 (0.4063552063557035),0.765625 (0.4252720296617195),0.7848403155512642 (0.2390401868082661)
TRAIN019,0.7661069786408916 (0.3727777378941452),0.984375 (0.12450690143095285),0.9453125 (0.22826265262341355)
TRAIN021,0.8077514864271507 (0.27987972983830334),0.9070804208167829 (0.25727218080388514),0.9453125 (0.22826265262341355)
TRAIN023,0.9921875 (0.08838834764831843),0.671875 (0.4713755210973135),0.6872431165538728 (0.42634190604969746)
TRAIN025,0.6278463310124923 (0.358534497329299),0.6326530612244898 (0.4870779177494949),0.7232725571612922 (0.2996049915061152)
TRAIN031,0.8979591836734694 (0.30583887092059836),0.673469387755102 (0.47380354147934284),0.7664572929545325 (0.3572851157169341)
TRAIN035,0.7959183673469388 (0.4072055089639778),0.9325019151580577 (0.12133688787568775),0.512911321557298 (0.3098968155079796)
TRAIN037,0.6146471047279786 (0.16712395958191806),0.890471456002216 (0.2517563281819419),0.6326530612244898 (0.48707791774949477)
TRAIN053,0.49582650198135525 (0.3163641547063455),0.5769000870641321 (0.388201881798037),0.5841760865878314 (0.33434152277252743)
TRAIN057,0.3125 (0.4653336792785004),0.5913846187177114 (0.3512685878804367),0.6335385352140293 (0.27084072101006945)
TRAIN060,0.3690283936448395 (0.41658443799696554),0.796875 (0.4039056372217744),0.328125 (0.4713755210973134)
TRAIN065,0.8299830404575914 (0.2970556193369546),1.0 (0.0),0.890625 (0.3133354972840896)
TRAIN070,0.6599159130710177 (0.42869792908777477),0.8125 (0.39184602471712543),0.328125 (0.47137552109731334)
