Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.12087912087912088 (0.3277927812629612),0.4444444444444444 (0.5270462766947299),0.0 (0.0)
TRAIN007,0.11320754716981132 (0.31987842392976584),0.078125 (0.269422684043429),0.0234375 (0.1518828677363284)
TRAIN018,0.0 (0.0),0.0078125 (0.08838834764831843),0.0 (0.0)
TRAIN022,0.06451612903225806 (0.24973103811470743),0.09375 (0.2926259066792319),0.0 (0.0)
TRAIN024,0.1640625 (0.3717874202104902),0.2421875 (0.4300905187640257),0.0 (0.0)
TRAIN026,0.16216216216216217 (0.3736838766118223),0.32653061224489793 (0.4738035414793429),0.3673469387755102 (0.4870779177494949)
TRAIN034,0.0 (0.0),0.08163265306122448 (0.2766416675862441),0.08163265306122448 (0.27664166758624403)
TRAIN040,0.045454545454545456 (0.21320071635561041),0.07317073170731707 (0.2636516548818748),0.12244897959183673 (0.331200660553418)
TRAIN043,0.03225806451612903 (0.17960530202677488),0.08333333333333333 (0.28232985128663995),0.0 (0.0)
TRAIN044,0.0 (0.0),0.0 (0.0),0.0 (0.0)
TRAIN052,0.13 (0.3379976689896311),0.043478260869565216 (0.20482360180554887),0.0 (0.0)
TRAIN054,0.5777777777777777 (0.4966806171531967),0.2727272727272727 (0.44721359549995787),0.046875 (0.21220162006698995)
TRAIN059,0.7058823529411765 (0.46017899330842227),0.30973451327433627 (0.4644437152139858),0.03125 (0.1746763035549529)
TRAIN069,0.5 (0.501964644110527),0.8174603174603174 (0.3878307600135636),0.0 (0.0)
