Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.20929440171385066 (0.34266655718676126),0.15759972602354538 (0.35728229677593865),0.024136781110337326 (0.08129759891023769)
Spectralis,0.25459177176259 (0.32677707757506147),0.45126133670612256 (0.4656862266656172),0.3104621312980141 (0.35883883548256)
Topcon,0.28589079706189297 (0.4374640867588147),0.5949987354128098 (0.45001339391128),0.15088400547392666 (0.25864908872162506)
