Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.9239130434782609 (0.2665900112789531),0.890625 (0.31333549728408966),0.7421875 (0.439149029463507)
TRAIN005,0.6953125 (0.4620835004815935),0.6986301369863014 (0.46202848357509646),0.6956521739130435 (0.46350162846617154)
TRAIN006,0.025974025974025976 (0.16010078848765158),0.796875 (0.4039056372217743),0.9140625 (0.2813730045980521)
TRAIN009,0.8681318681318682 (0.34022186254107145),0.9375 (0.24301258837812542),0.7543859649122807 (0.4323511255108244)
TRAIN020,0.17721518987341772 (0.3842906776055266),0.08333333333333333 (0.2886751345948129),0.014084507042253521 (0.11867816581938533)
TRAIN030,0.7666666666666667 (0.4301830671520764),0.8620689655172413 (0.3509312031717982),0.8823529411764706 (0.33210558207753577)
TRAIN036,0.5384615384615384 (0.508391127441794),0.9795918367346939 (0.14285714285714285),0.9795918367346939 (0.14285714285714285)
TRAIN038,0.14285714285714285 (0.3535533905932738),1.0 (0.0),0.6875 (0.478713553878169)
TRAIN045,0.8 (0.40683810217248617),0.7959183673469388 (0.40720550896397784),0.6666666666666666 (0.4780914437337574)
TRAIN047,0.68 (0.47609522856952335),0.8367346938775511 (0.37343778907995523),0.8775510204081632 (0.33120066055341796)
TRAIN055,0.7419354838709677 (0.43934481415231036),0.8515625 (0.3569301250570318),0.7878787878787878 (0.4119429204355498)
TRAIN058,0.7578125 (0.4300905187640256),0.8203125 (0.3854355088676484),0.8404255319148937 (0.3681745579851539)
TRAIN061,0.8133333333333334 (0.3922676049253544),0.8181818181818182 (0.38924947208076144),0.8260869565217391 (0.3818115387869978)
TRAIN066,0.9555555555555556 (0.20723493215097805),1.0 (0.0),0.9375 (0.2430125883781254)
