Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6453611598246627 (0.14830156583542145),nan (nan),nan (nan)
TRAIN005,nan (nan),0.6720852152867751 (0.19885126065177297),0.7671677245426987 (0.14366937393860665)
TRAIN006,0.6379499954408875 (0.25237281574403175),nan (nan),nan (nan)
TRAIN009,0.44425513736299566 (0.19361854963656608),nan (nan),0.35778410945619854 (0.14220826823752297)
TRAIN020,0.34068922776424765 (0.20460060894446802),0.7211491360232748 (0.10166133644950659),0.4339235116515243 (0.21999675395770912)
TRAIN030,0.4231063826499801 (0.2907267921412522),0.8707649573683739 (0.10221579917492973),0.5452370783314109 (0.28159547062486906)
TRAIN036,0.5544798247840094 (0.23527047266712947),nan (nan),nan (nan)
TRAIN038,nan (nan),0.799264770746231 (0.20473319926975306),0.5125062649745042 (0.20491491503072573)
TRAIN045,0.5989803122846704 (0.23506609313292837),nan (nan),0.3108210235547561 (0.24094119092457575)
TRAIN047,0.5477956204364697 (0.1824399529450681),nan (nan),nan (nan)
TRAIN055,0.5224440693855286 (0.28446832577712416),nan (nan),0.6213714101862523 (0.2719911013254556)
TRAIN058,nan (nan),nan (nan),0.4533970132470131 (0.21181057555252233)
TRAIN061,0.5861237643743461 (0.1580144467918416),0.6417578866271532 (0.18961512146619278),0.4400578163943048 (0.14304077652888986)
TRAIN066,0.7131488668291193 (0.17979673554511935),nan (nan),nan (nan)
