Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.2028912514942931 (0.21878936865847065),0.011652768924250267 (0.04707205976715373),0.0 (0.0)
TRAIN010,0.05962522940535564 (0.15069324294362824),0.0 (0.0),0.0 (0.0)
TRAIN011,0.4284569414157886 (0.44559303960850977),0.07113039877049232 (0.18184678124618617),0.007800660074281041 (0.029557719986204354)
TRAIN013,0.37876237306409166 (0.4784867804735891),0.33780365393795364 (0.45611161971219505),0.07283712042772095 (0.08732537584103447)
TRAIN015,0.0 (0.0),0.12813242968331906 (0.12077693412793895),0.1470910690841265 (0.1267755077354258)
TRAIN028,0.02040816326530612 (0.14285714285714282),0.6057313048109716 (0.4311753164280637),0.09841045157565755 (0.2546522774958404)
TRAIN029,0.28473892655907845 (0.3693066271825007),0.34510375163993057 (0.4609480521784547),0.061224489795918366 (0.24222607082590242)
TRAIN032,0.6299081867446705 (0.13069268381182816),0.5786500667430916 (0.39000378423464965),0.02040816326530612 (0.14285714285714282)
TRAIN041,0.02371716377686481 (0.09962604141499555),0.6122448979591837 (0.4922874554317937),0.0 (0.0)
TRAIN046,0.2944028128166588 (0.2484164361454032),0.08316447053636823 (0.26170386847638244),0.2236872788290588 (0.2127151671503539)
TRAIN049,0.171875 (0.37875417411488527),0.08580193818488624 (0.23112665405939953),0.063469571294263 (0.13344020469838144)
TRAIN050,0.057532893246388994 (0.17184477910897766),0.015625 (0.12450690143095285),0.04867743958675419 (0.08828429367554003)
TRAIN051,0.07443776054424234 (0.12337497466970852),0.10192048386670649 (0.23526092287492703),0.0 (0.0)
TRAIN056,0.2904733291361481 (0.374997484713572),0.0 (0.0),0.0 (0.0)
