Volume,dice_IRF
TRAIN008,0.7476154375407431 (0.18581563087631894)
TRAIN017,0.5450706313485685 (0.26214756173039444)
TRAIN019,0.7474551482333077 (0.12407669956084844)
TRAIN021,0.6704428597636845 (0.1242566192245299)
TRAIN023,nan (nan)
TRAIN025,0.6778283427158992 (0.21370510349686234)
TRAIN031,nan (nan)
TRAIN035,nan (nan)
TRAIN037,0.6659423337907208 (0.13306837556797438)
TRAIN053,0.6023564118337124 (0.1805807402697859)
TRAIN057,nan (nan)
TRAIN060,0.13535836057761977 (0.13284049432466924)
TRAIN065,0.5453268338897033 (0.2281751468306601)
TRAIN070,0.48838903420958024 (0.2701024599313816)
