Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.1406055594979989 (0.16725157104762195),0.029125112167093903 (0.12375870316302769),0.03125 (0.17467630355495292)
TRAIN010,0.04763937814277597 (0.12401688327461176),0.015625 (0.12450690143095283),0.0 (0.0)
TRAIN011,0.3904771811357932 (0.43183784098261363),0.251515417417977 (0.36420098611941937),0.0028251422654648195 (0.013055145198030664)
TRAIN013,0.27128849877772154 (0.4302877176724903),0.41135034566650575 (0.44560747998510436),0.06658337778208079 (0.08664926879020568)
TRAIN015,0.0 (0.0),0.28348264850501437 (0.21680059228706558),0.24110522778937593 (0.20055698888767384)
TRAIN028,0.02040816326530612 (0.14285714285714285),0.6401530455569832 (0.42786743404971384),0.1269698860788984 (0.3091700758811025)
TRAIN029,0.3358714252102132 (0.39756271663111015),0.3092747598278279 (0.45089942937404165),0.46938775510204084 (0.5042337758225565)
TRAIN032,0.6358972973361308 (0.1409780235214706),0.5824525739465441 (0.4042186466039619),0.02040816326530612 (0.14285714285714282)
TRAIN041,0.04791993267682134 (0.18273376741632683),0.3469387755102041 (0.4809288065886704),0.12244897959183673 (0.331200660553418)
TRAIN046,0.3038403611174043 (0.24960473617308376),0.14748805327987186 (0.34282278017070816),0.2805362102024409 (0.27338084369435633)
TRAIN049,0.4609375 (0.5004304249705651),0.19888708343205508 (0.37442499490683245),0.08286250609671697 (0.17519749774477972)
TRAIN050,0.43276964745336954 (0.4780285707342812),0.1015625 (0.30325903664538445),0.08212251370423473 (0.14831534314556355)
TRAIN051,0.30543639576626447 (0.4261983646882797),0.15150132575581665 (0.33017724690216294),0.0 (0.0)
TRAIN056,0.530603444276494 (0.45068875110922696),0.09375 (0.29378482569650155),0.0 (0.0)
