Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.0 (0.0),0.1016949152542373 (0.30353559073973385),0.0234375 (0.1518828677363284)
TRAIN010,0.0 (0.0),0.0234375 (0.15188286773632836),0.0 (0.0)
TRAIN011,0.2765957446808511 (0.44971329741755545),0.367816091954023 (0.48500641397666383),0.0 (0.0)
TRAIN013,0.15217391304347827 (0.3611575592573076),0.873015873015873 (0.3356295717325918),0.0 (0.0)
TRAIN015,0.0 (0.0),0.0 (0.0),0.0 (0.0)
TRAIN028,0.061224489795918366 (0.24222607082590245),0.7142857142857143 (0.45834924851410563),0.10526315789473684 (0.31101174777590485)
TRAIN029,0.1875 (0.396557769456266),0.5813953488372093 (0.4991687442297913),0.24489795918367346 (0.43448303787844433)
TRAIN032,nan (nan),0.26666666666666666 (0.45773770821706344),0.04081632653061224 (0.19991494790174602)
TRAIN041,0.0 (0.0),0.5510204081632653 (0.5025445456953674),0.061224489795918366 (0.24222607082590242)
TRAIN046,0.0 (0.0),0.34782608695652173 (0.4815434123430768),0.0625 (0.24999999999999997)
TRAIN049,0.2734375 (0.447474870626854),0.3119266055045872 (0.4654199160619089),0.010101010101010102 (0.10050378152592121)
TRAIN050,0.4945054945054945 (0.5027397465361703),0.03125 (0.1746763035549529),0.0 (0.0)
TRAIN051,0.569620253164557 (0.49829309426248203),0.16037735849056603 (0.36869893390601516),0.0 (0.0)
TRAIN056,0.9459459459459459 (0.22924343513512566),0.484375 (0.503706499953334),0.0 (0.0)
