Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.7289529587659571 (0.19627199153411237),0.7609271172966275 (0.1372480819713869),nan (nan)
TRAIN017,0.6053361405577996 (0.28630715084726205),nan (nan),0.6208508627223117 (0.17526850211587858)
TRAIN019,0.7239359240565035 (0.23342684806111552),nan (nan),nan (nan)
TRAIN021,0.5520041361451149 (0.17931037907607134),0.4553146932274103 (0.3683188212559141),nan (nan)
TRAIN023,nan (nan),nan (nan),0.45305085994980554 (0.22078298018520498)
TRAIN025,0.6588156739870707 (0.22471992540936395),nan (nan),0.7048398379621834 (0.13816280922845528)
TRAIN031,nan (nan),nan (nan),0.6597754596732557 (0.25137636948883935)
TRAIN035,nan (nan),0.9230835777382518 (0.12682350597768072),0.6425737432307668 (0.1348137708365381)
TRAIN037,0.6146471047279786 (0.16712395958191806),0.8685056302282546 (0.13696171425466283),nan (nan)
TRAIN053,0.5687850239746114 (0.2012978639920035),0.7512105343403754 (0.17345993081939579),0.7422823306727917 (0.10804670259928045)
TRAIN057,nan (nan),0.6417371037451527 (0.19289846335415303),0.639286516036125 (0.11708569731068846)
TRAIN060,0.45356932596156474 (0.21140742302389706),nan (nan),nan (nan)
TRAIN065,0.6011821618303657 (0.16233139572364386),nan (nan),nan (nan)
TRAIN070,0.5334219611410437 (0.25573884814709746),nan (nan),nan (nan)
