Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.47023463770316515 (0.28307524586510496),0.6497816503135084 (0.1729578537872855),0.574627394701999 (0.26950325439692785)
Spectralis,0.5467335671131663 (0.24769350473992768),0.8387504475812118 (0.17392929947266608),0.5822552266793374 (0.2683543467229719)
Topcon,0.65167778342178 (0.18981984638269725),0.7060755752537349 (0.12469183379157495),0.5249367214018299 (0.22052594560562366)
