Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.14285714285714285 (0.35186577527449836),0.5555555555555556 (0.5270462766947299),0.05714285714285714 (0.2355041079768028)
TRAIN007,0.24528301886792453 (0.4343722427630693),0.3359375 (0.47417302649467324),0.25 (0.43471413360133115)
TRAIN018,0.408 (0.49344084849933323),0.5078125 (0.5019033653891718),0.671875 (0.4713755210973134)
TRAIN022,0.06451612903225806 (0.24973103811470745),0.25 (0.43471413360133104),0.2265625 (0.4202519632297096)
TRAIN024,0.46875 (0.500983285118879),0.390625 (0.48980753089640694),0.0707070707070707 (0.25763941153881403)
TRAIN026,0.8918918918918919 (0.3148000938676784),0.7551020408163265 (0.43448303787844433),0.7346938775510204 (0.4460712855998855)
TRAIN034,0.7777777777777778 (0.4277926319464986),0.7346938775510204 (0.4460712855998855),0.5306122448979592 (0.5042337758225565)
TRAIN040,0.5454545454545454 (0.5096471914376255),0.24390243902439024 (0.4347693529262411),0.3877551020408163 (0.49228745543179364)
TRAIN043,0.2903225806451613 (0.4614143753790638),0.5833333333333334 (0.5036101551853348),0.391304347826087 (0.4990108793478454)
TRAIN044,0.19047619047619047 (0.40237390808147816),0.0 (0.0),0.0 (0.0)
TRAIN052,0.31 (0.46482319871173167),0.6608695652173913 (0.4754860213736458),0.609375 (0.4898075308964068)
TRAIN054,0.5444444444444444 (0.5008108282005753),0.9421487603305785 (0.234432671967775),0.6640625 (0.47417302649467324)
TRAIN059,0.27450980392156865 (0.45070750482098776),0.8938053097345132 (0.3094589708093984),0.6328125 (0.4839322811674227)
TRAIN069,0.0 (0.0),0.6111111111111112 (0.4894441291460707),0.0 (0.0)
