Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.4896745345206 (0.44469896302759265),0.8132919526658953 (0.3167906130907588),0.6979083630765672 (0.4082087099997977)
Spectralis,0.7859870210898166 (0.30017441869081907),0.848021637420265 (0.3204972454716161),0.855757869688832 (0.31254694942164374)
Topcon,0.771600081593663 (0.362451305488646),0.9031517182426926 (0.2707340716487635),0.8339283638800096 (0.3248832130237316)
