vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.62 (0.19),0.83 (0.03),0.71 (0.11)
Spectralis,0.66 (0.09),0.78 (0.03),0.76 (0.08)
Topcon,0.75 (0.13),0.84 (0.04),0.77 (0.16)
