Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5138708888095497 (0.2455394321873161),0.7053683428039328 (0.14170395136592304),0.5769654880349453 (0.2512553551409076)
Spectralis,0.5331738595795982 (0.23972523287790623),0.8230981662869453 (0.17951859561032718),0.49232008406378996 (0.2555815998581259)
Topcon,0.6342525550409367 (0.18295839290475394),0.6417578866271532 (0.18961512146619278),0.5155092712852263 (0.23273951783588875)
