Volume,dice_SRF
TRAIN001,0.616523802280426 (0.21619248370050545)
TRAIN010,nan (nan)
TRAIN011,0.7019577571531621 (0.1641191638244121)
TRAIN013,0.7369507546608265 (0.17003786794031744)
TRAIN015,0.8085746473073959 (0.12357788342109394)
TRAIN028,0.8441292600972312 (0.09013844350284353)
TRAIN029,0.8756533165772756 (0.07445299307278606)
TRAIN032,0.8039441844996285 (0.1837700042948415)
TRAIN041,nan (nan)
TRAIN046,0.26368408898512524 (0.05961623693676795)
TRAIN049,0.35083716009792526 (0.3049373046013637)
TRAIN050,nan (nan)
TRAIN051,0.828372137113051 (0.09629962028290293)
TRAIN056,nan (nan)
