vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.51 (0.09),0.79 (0.02),0.65 (0.04)
Spectralis,0.77 (0.11),0.83 (0.02),0.82 (0.03)
Topcon,0.79 (0.07),0.89 (0.02),0.81 (0.04)
