Volume,dice_SRF
TRAIN001,0.2542372881355932 (0.4372884724873967)
TRAIN010,0.75 (0.4347141336013311)
TRAIN011,0.2988505747126437 (0.46040787096336094)
TRAIN013,0.15873015873015872 (0.3683594495540747)
TRAIN015,0.0 (0.0)
TRAIN028,0.8857142857142857 (0.3228028510906756)
TRAIN029,0.5813953488372093 (0.49916874422979124)
TRAIN032,0.0 (0.0)
TRAIN041,0.8571428571428571 (0.35355339059327373)
TRAIN046,0.17391304347826086 (0.3832230465168326)
TRAIN049,0.8899082568807339 (0.31444982939885724)
TRAIN050,0.9140625 (0.28137300459805215)
TRAIN051,0.7547169811320755 (0.4322988550642336)
TRAIN056,0.328125 (0.47324236215002285)
