Volume,dice_SRF
TRAIN008,0.6662056975765154 (0.45431601687848777)
TRAIN017,0.71875 (0.4513758494650716)
TRAIN019,0.9296875 (0.2566775528590926)
TRAIN021,0.7285927669145167 (0.41309953799746946)
TRAIN023,0.5546875 (0.49895313635998373)
TRAIN025,0.8367346938775511 (0.37343778907995534)
TRAIN031,0.9795918367346939 (0.14285714285714285)
TRAIN035,0.8366870125945733 (0.22633204080195474)
TRAIN037,0.8039120800641119 (0.3634647528370425)
TRAIN053,0.6536444721277803 (0.3847817822832204)
TRAIN057,0.6917301124194637 (0.3530858347362984)
TRAIN060,0.8203125 (0.3854355088676484)
TRAIN065,0.96875 (0.1746763035549529)
TRAIN070,0.9453125 (0.22826265262341355)
