Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.8333333333333334 (0.3747658444979308),1.0 (0.0),0.34285714285714286 (0.48159399197793545)
TRAIN007,0.9056603773584906 (0.2950978288503027),0.9375 (0.2430125883781254),0.8828125 (0.3229074060986924)
TRAIN018,0.88 (0.3262692337674912),0.9609375 (0.1945049743306584),0.9921875 (0.08838834764831843)
TRAIN022,0.7096774193548387 (0.46141437537906377),0.90625 (0.2926259066792319),0.875 (0.3320184038158742)
TRAIN024,0.96875 (0.1746763035549529),0.53125 (0.500983285118879),0.20202020202020202 (0.4035505172786638)
TRAIN026,0.972972972972973 (0.16439898730535726),0.8979591836734694 (0.3058388709205983),0.8979591836734694 (0.3058388709205983)
TRAIN034,0.9444444444444444 (0.2357022603955158),1.0 (0.0),1.0 (0.0)
TRAIN040,0.8181818181818182 (0.3947710169758614),0.7804878048780488 (0.4190581774617469),0.5102040816326531 (0.5050762722761055)
TRAIN043,0.8064516129032258 (0.4016096644512494),0.9166666666666666 (0.28232985128663995),0.9565217391304348 (0.20851441405707477)
TRAIN044,0.7619047619047619 (0.4364357804719847),0.0 (0.0),0.36363636363636365 (0.49236596391733095)
TRAIN052,0.68 (0.46882617226215073),0.9739130434782609 (0.16009150701348582),0.9375 (0.2430125883781254)
TRAIN054,0.8888888888888888 (0.31603030875998483),1.0 (0.0),0.90625 (0.2926259066792318)
TRAIN059,0.8235294117647058 (0.3850133687518487),0.9469026548672567 (0.22522639263487154),0.96875 (0.1746763035549529)
TRAIN069,0.9921875 (0.08838834764831843),0.8809523809523809 (0.3251373336211727),0.8805970149253731 (0.3267094000976502)
