Volume,dice_SRF
TRAIN004,0.6666666666666666 (0.5)
TRAIN007,0.765625 (0.42527202966171945)
TRAIN018,0.96875 (0.1746763035549529)
TRAIN022,0.4140625 (0.4944947911001661)
TRAIN024,0.3984375 (0.4915000941197113)
TRAIN026,0.9387755102040817 (0.24222607082590245)
TRAIN034,0.7551020408163265 (0.43448303787844417)
TRAIN040,0.5853658536585366 (0.4987789969564456)
TRAIN043,0.8333333333333334 (0.3806934938134405)
TRAIN044,0.0 (0.0)
TRAIN052,0.5043478260869565 (0.5021692075819448)
TRAIN054,0.9256198347107438 (0.2634795772034443)
TRAIN059,0.911504424778761 (0.28527937822590826)
TRAIN069,0.7857142857142857 (0.41196393739535714)
