Volume,dice_PED
TRAIN003,nan (nan)
TRAIN010,nan (nan)
TRAIN013,0.5041854426716313 (0.13249595061861147)
TRAIN015,0.4983163069756258 (0.1209095545318589)
TRAIN024,0.33881321893041505 (0.12314233530803952)
TRAIN025,0.6176835830355513 (0.18639582750071457)
TRAIN031,0.7316006608307362 (0.174495210113596)
TRAIN036,nan (nan)
TRAIN038,0.624905872751366 (0.19101422026254908)
TRAIN041,nan (nan)
TRAIN052,nan (nan)
TRAIN053,0.6779875038786137 (0.11393639826107152)
TRAIN065,nan (nan)
TRAIN069,0.39375988235239123 (0.16400384222921108)
