Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.20044543429844097 (0.4007802404627784),0.10141509433962265 (0.3022341981055136),0.0 (0.0)
Spectralis,0.02857142857142857 (0.16719682722442947),0.35106382978723405 (0.47857736612716184),0.03482587064676617 (0.18379633980948368)
Topcon,0.1044776119402985 (0.3063366879977679),0.022113022113022112 (0.14723212128936577),0.0 (0.0)
