Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.42027907303158996 (0.2199395084783192),0.5686452399240807 (0.27112874914587065),0.4118256403192834 (0.20791638462124665)
Spectralis,0.5558265703065055 (0.17310687230347124),0.7650245987532431 (0.16921492167307647),0.6844552314247597 (0.17238046629838394)
Topcon,0.20726225660924297 (0.22869129014838627),0.3485902376563811 (0.27548893815675646),0.3387989868052712 (0.19413619744152905)
