Volume,dice_SRF
TRAIN008,0.6578947368421053 (0.4765091975715517)
TRAIN017,0.71875 (0.4513758494650716)
TRAIN019,0.9296875 (0.2566775528590926)
TRAIN021,0.7314814814814815 (0.4452549722440672)
TRAIN023,0.5546875 (0.49895313635998373)
TRAIN025,0.8367346938775511 (0.37343778907995534)
TRAIN031,0.9795918367346939 (0.14285714285714285)
TRAIN035,0.6666666666666666 (0.5163977794943223)
TRAIN037,0.7419354838709677 (0.44480272297456924)
TRAIN053,0.4117647058823529 (0.4970501217477085)
TRAIN057,0.5306122448979592 (0.5042337758225565)
TRAIN060,0.8203125 (0.3854355088676484)
TRAIN065,0.96875 (0.1746763035549529)
TRAIN070,0.9453125 (0.22826265262341355)
