Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.7937516726087779 (0.3501315878152786),0.5 (0.5019646441105268),0.78125 (0.41502300476984283)
TRAIN005,0.890625 (0.3133354972840897),0.636454253224656 (0.39549001643466714),0.6707414125557989 (0.40683466494847187)
TRAIN006,0.6754255346022546 (0.3980512557888988),0.5390625 (0.5004304249705652),0.625 (0.48602517675625073)
TRAIN009,0.7591523472801782 (0.39494941816667833),0.7578125 (0.43009051876402554),0.6983858225867152 (0.43406519503287777)
TRAIN020,0.31878092471743 (0.378983923380234),0.6782532529905438 (0.2451057983755701),0.20610584113455843 (0.2833725873591937)
TRAIN030,0.6825010989583573 (0.3974666844231072),0.8146815701406829 (0.34852172783441987),0.7355086531262008 (0.34106885920320795)
TRAIN036,0.6513462492397853 (0.37608587170473523),0.6530612244897959 (0.4809288065886703),0.9183673469387755 (0.27664166758624403)
TRAIN038,0.5102040816326531 (0.5050762722761054),0.8643649013674989 (0.14466680028641463),0.753497092699518 (0.2697412099917341)
TRAIN045,0.7476049911002723 (0.34400612709180906),0.5918367346938775 (0.4965869908241478),0.45772608149112487 (0.45257279211550466)
TRAIN047,0.7337184226026341 (0.3244957545748007),0.6122448979591837 (0.4922874554317937),0.7755102040816326 (0.4215697907053756)
TRAIN055,0.765625 (0.42527202966171945),0.84375 (0.3645188825671882),0.5022776398691349 (0.40874617301626465)
TRAIN058,0.9453125 (0.22826265262341355),0.8125 (0.3918460247171255),0.82366023294162 (0.2925212750797601)
TRAIN061,0.7967701630550437 (0.28379182902121),0.7571397579740733 (0.27320349773358965),0.6855169661575928 (0.34458338874886035)
TRAIN066,0.8769133348250762 (0.24167736124908362),0.9921875 (0.08838834764831843),0.9765625 (0.1518828677363284)
