Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.17597628335170157 (0.21363733446323033),0.07544543370204337 (0.24676207597703978),0.28125 (0.45137584946507153)
TRAIN010,0.08247999053855892 (0.20628332911686667),0.046875 (0.2122016200669899),0.03125 (0.17467630355495292)
TRAIN011,0.6038112762325909 (0.43447449291078416),0.18243879250076134 (0.324498517631624),0.12832026178512024 (0.3315061244412227)
TRAIN013,0.1640813473131857 (0.35626678115333593),0.27584589119760494 (0.383789517944665),0.07833716591721895 (0.24313089953226955)
TRAIN015,0.0 (0.0),0.2041875618015183 (0.17206738295242324),0.35610158304916695 (0.3040991961754761)
TRAIN028,0.14285714285714285 (0.3535533905932738),0.7018270906136961 (0.4136883474901091),0.3874819934064028 (0.4671469045362321)
TRAIN029,0.39228436776569914 (0.42137549636034627),0.34616609130586895 (0.4623905377394718),0.6530612244897959 (0.4809288065886702)
TRAIN032,0.6909070416372649 (0.11830892591551277),0.571562184971206 (0.3998892732375416),0.2857142857142857 (0.45643546458763845)
TRAIN041,0.15716737143847406 (0.34866576264079113),0.32653061224489793 (0.4738035414793428),0.6122448979591837 (0.4922874554317936)
TRAIN046,0.3389049193688801 (0.2974470490009059),0.18968096938060255 (0.38133839805773745),0.4606163289245902 (0.36688937191201876)
TRAIN049,0.6328125 (0.48393228116742293),0.06572445455822162 (0.20890753003313514),0.29256591689772904 (0.410287450043715)
TRAIN050,0.5641283009244944 (0.4856531764371987),0.0 (0.0),0.11452659051428782 (0.20331009427807145)
TRAIN051,0.3674437268600741 (0.4564391214014278),0.08227873791474849 (0.19754955981534228),0.1328125 (0.3407054688956916)
TRAIN056,0.6434740559780039 (0.43403813826022614),0.0 (0.0),0.0 (0.0)
