vendor,Dice_Background,Dice_IRF,Dice_SRF,Dice_PED
Cirrus,0.9986319947340656,0.81052441262905,0.716469652701459,0.5970585421848097
Spectralis,0.9963791032989107,0.7452683638208161,0.9417697517516348,0.6206714279350845
Topcon,0.9946641084707746,0.553838457947042,0.7289444024147355,0.5903960236243216
