Volume,dice_SRF
TRAIN003,nan (nan)
TRAIN005,0.6451448435133154 (0.23186927295795653)
TRAIN018,nan (nan)
TRAIN021,0.48629883358371445 (0.3226083198879761)
TRAIN022,nan (nan)
TRAIN032,0.820426760789226 (0.14391251811520722)
TRAIN037,0.7451216363244586 (0.2107280973739969)
TRAIN040,0.7171181812882423 (0.18906067000926907)
TRAIN046,0.676667590936025 (0.10682825910383356)
TRAIN049,0.282999997713456 (0.30747206700976476)
TRAIN051,0.7903484973040494 (0.09736560334074117)
TRAIN056,nan (nan)
TRAIN060,nan (nan)
TRAIN070,nan (nan)
