Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.574176548430114 (0.43148383596817774),0.6464469608064973 (0.46823515999939924),0.6908409346826374 (0.4322359872655525)
Spectralis,0.4783702274518354 (0.4041950782901429),0.615861060211853 (0.4501728030763565),0.5744583859887659 (0.3992192239828693)
Topcon,0.4123284329827584 (0.4269956079321587),0.5858926466229605 (0.4384007574063206),0.4408929300494492 (0.4347538645663725)
