Volume,dice_PED
TRAIN004,0.4857142857142857 (0.50709255283711)
TRAIN007,0.5546875 (0.49895313635998373)
TRAIN018,0.859375 (0.3490002594588753)
TRAIN022,0.3125 (0.4653336792785002)
TRAIN024,0.050505050505050504 (0.22009911374694652)
TRAIN026,0.2857142857142857 (0.45643546458763845)
TRAIN034,0.20408163265306123 (0.4072055089639779)
TRAIN040,0.3469387755102041 (0.4809288065886704)
TRAIN043,0.21739130434782608 (0.42174116783664994)
TRAIN044,0.0 (0.0)
TRAIN052,0.8203125 (0.38543550886764827)
TRAIN054,0.8671875 (0.3407054688956917)
TRAIN059,0.765625 (0.42527202966171956)
TRAIN069,0.22388059701492538 (0.41998901581553144)
