Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.37778372483121025 (0.2964841933336899),nan (nan),nan (nan)
TRAIN005,nan (nan),0.663020807504654 (0.21671069782603927),0.8280491662227502 (0.14096416930686176)
TRAIN006,0.6363621260605606 (0.27796585803407214),nan (nan),nan (nan)
TRAIN009,0.2208513635638598 (0.277558106489387),nan (nan),0.45667037793568205 (0.18393197375556286)
TRAIN020,0.4041624155883886 (0.21623517915307885),0.7484173826102553 (0.11565924321638402),0.4628341695653242 (0.24731458860825614)
TRAIN030,0.49697651836628975 (0.3086602724687863),0.8959698468446732 (0.12498265050319766),0.657497625099495 (0.32417231083412706)
TRAIN036,0.6050420092499774 (0.22940126659365956),nan (nan),nan (nan)
TRAIN038,nan (nan),0.8338470041751862 (0.14337878712090338),0.7248896224932238 (0.17430998841262924)
TRAIN045,0.5596128717849129 (0.24909987923030735),nan (nan),0.34065984562039375 (0.2215417128862863)
TRAIN047,0.6230084461470445 (0.22044664460889646),nan (nan),nan (nan)
TRAIN055,0.0 (0.0),nan (nan),0.6014764177943429 (0.2586391689255954)
TRAIN058,nan (nan),nan (nan),0.5126032298978638 (0.15281053523939123)
TRAIN061,0.6412562428499168 (0.18049389480441572),0.7111491646668683 (0.11414773960262665),0.5380707062402014 (0.1925103572136206)
TRAIN066,0.7432870225686776 (0.15181711349380853),nan (nan),nan (nan)
