Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5938967572974747 (0.20030708020772128),0.6323929153382778 (0.248071861645046),nan (nan)
TRAIN010,0.8588489802444682 (0.0706676394829058),nan (nan),nan (nan)
TRAIN011,0.5197727220023379 (0.23245823722727862),0.7098540467459981 (0.15039877024086493),0.22289347665553744 (0.2115334525970182)
TRAIN013,0.39627325700389016 (0.254492624161827),0.7452448858664587 (0.138664872230617),0.3762963264951285 (0.17816992636002574)
TRAIN015,nan (nan),0.8317183119058609 (0.10664143494521489),0.7751307654238883 (0.10328673787713782)
TRAIN028,nan (nan),0.8002638944557735 (0.1291430328516751),0.5760660984299399 (0.28684381378002144)
TRAIN029,0.7022252258132485 (0.11300656639074458),0.8891776899496714 (0.04476603578603225),nan (nan)
TRAIN032,0.6685116582987259 (0.12394038400575008),0.8492350150995395 (0.1727947215314978),nan (nan)
TRAIN041,0.6784148216247559 (0.13999892884661416),nan (nan),nan (nan)
TRAIN046,0.5591210023396544 (0.1865114060492818),0.6399147609869639 (0.26805833742863666),0.7734602402676555 (0.16182827943487152)
TRAIN049,nan (nan),0.5162464395949715 (0.2749312971900066),0.45215218539895685 (0.23001229734000073)
TRAIN050,0.49962275414853485 (0.24488937509442193),nan (nan),0.5666607049378481 (0.2089475692396955)
TRAIN051,0.566710788072372 (0.19782400985897738),0.6729451668533412 (0.26742913415955105),nan (nan)
TRAIN056,0.6325196403044241 (0.37197826214544244),nan (nan),nan (nan)
