Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.028953229398663696 (0.16786213530258193),0.054245283018867926 (0.2267686383610568),0.00641025641025641 (0.07989244953067344)
Spectralis,0.03571428571428571 (0.18624321862848495),0.25 (0.4341689461451514),0.15422885572139303 (0.3620697824497153)
Topcon,0.382089552238806 (0.48662511642170053),0.004914004914004914 (0.07001358049425546),0.024 (0.15325348614645867)
