Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.0 (0.0),0.6403508771929824 (0.48201628479184544),0.4609375 (0.5004304249705651)
TRAIN017,0.024390243902439025 (0.15520673239323957),0.2890625 (0.4551082548383926),0.13793103448275862 (0.34783923802698247)
TRAIN019,0.043478260869565216 (0.20504855915155562),0.7890625 (0.4095771537596912),0.671875 (0.47137552109731345)
TRAIN021,0.024390243902439025 (0.1552067323932396),0.1574074074074074 (0.365882291399257),0.2265625 (0.42025196322970965)
TRAIN023,0.3828125 (0.48798305362985844),0.4296875 (0.4969765873222369),0.4716981132075472 (0.5015698625755192)
TRAIN025,0.21052631578947367 (0.4188539082916955),0.2857142857142857 (0.4564354645876384),0.25 (0.44426165831931935)
TRAIN031,0.5714285714285714 (0.5),0.5510204081632653 (0.5025445456953673),0.6060606060606061 (0.4961976634488731)
TRAIN035,0.16326530612244897 (0.3734377890799553),1.0 (0.0),0.0 (0.0)
TRAIN037,nan (nan),0.03225806451612903 (0.1796053020267749),0.0 (0.0)
TRAIN053,0.14705882352941177 (0.35949062795357095),0.13725490196078433 (0.34754037711536523),0.11764705882352941 (0.3270349700838643)
TRAIN057,0.2109375 (0.4095771537596912),0.3469387755102041 (0.4809288065886703),0.20588235294117646 (0.41042563012190464)
TRAIN060,0.37777777777777777 (0.4875478144866784),0.390625 (0.48980753089640694),0.1640625 (0.37178742021049016)
TRAIN065,0.15625 (0.36499819754421575),0.65625 (0.47682513013096256),0.546875 (0.4997538764310629)
TRAIN070,0.010101010101010102 (0.10050378152592121),0.6484375 (0.4793342454880913),0.0 (0.0)
