Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5367483296213809 (0.4992039479109983),0.7665094339622641 (0.42355144312101134),0.6730769230769231 (0.46959084936212814)
Spectralis,0.9928571428571429 (0.08451542547285165),0.8723404255319149 (0.3346014487117948),0.87 (0.3371473590413288)
Topcon,0.8597014925373134 (0.3478159837194086),0.8869778869778869 (0.3170095133107432),0.8026666666666666 (0.39851775278773655)
