Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6058448805577226 (0.17742149007099406),nan (nan),nan (nan)
TRAIN005,nan (nan),0.5175730963999575 (0.21367750313722522),0.8075575050661119 (0.1360961147186848)
TRAIN006,0.5743346003925099 (0.24501686836021888),nan (nan),nan (nan)
TRAIN009,0.3266376398151388 (0.20620459510831302),nan (nan),0.46746185954127994 (0.2245868945034784)
TRAIN020,0.28082016448737407 (0.163039509167846),0.4445765116412578 (0.2187558207882747),0.47178669463385614 (0.2816951558591378)
TRAIN030,0.4831455774899376 (0.3237241111807895),0.8664548397064209 (0.10315466976778055),0.6751231914386153 (0.20024832015870303)
TRAIN036,0.5160439914983251 (0.2502453405200441),nan (nan),nan (nan)
TRAIN038,nan (nan),0.7963311215862632 (0.20703736339139175),0.5394466654820875 (0.22846090619256865)
TRAIN045,0.5727211872213765 (0.25754602967313855),nan (nan),0.27287512881538045 (0.16396603642813548)
TRAIN047,0.5028991357733806 (0.15389496515505477),nan (nan),nan (nan)
TRAIN055,0.13264235109090805 (0.15353138960704368),nan (nan),0.6413885791215205 (0.22150263943566134)
TRAIN058,nan (nan),nan (nan),0.5592058034723296 (0.18188570087588812)
TRAIN061,0.5743839775194537 (0.18631862347175743),0.6157995125610535 (0.19382271704540938),0.5728422297259509 (0.20071007637750443)
TRAIN066,0.7187773083385668 (0.15253829292394755),nan (nan),nan (nan)
